Title,Author,Edition,Publisher,BLLRating,Topics,PublicationYear
100 Years of Math Milestones: The Pi Mu Epsilon Centennial Collection,Stephan Ramon Garcia and Steven J. Miller,,AMS,BLL,Problems,2019
1001 Problems in High School Mathematics , E Barbeau,,Canadian Mathematical Congress,BLL***,Problems Olympiad Level | Problems,1976
101 Careers in Mathematics,"Deanna Haunsperger and Robert Thompson, editors",4,AMS/MAA Press,BLL*,Mathematics for the General Reader,2019
104 Number Theory Problems: From the Training of the USA IMO Team,"Titu Andreescu, Dorin Andrica, and Zuming Feng",,Birkhäuser,BLL*,Number Theory | Problems Olympiad Level,2007
13 Lectures on Fermat's Last Theorem,Paulo Ribenboim,,Springer Verlag,BLL,Algebraic Number Theory | Diophantine Equations,1979
3.1416 and All That,Philip J. Davis and William G. Chinn ,,Dover Publications,BLL*,Mathematics for the General Reader,2007
500 Examples and Problems of Applied Differential Equations,"Ravi P. Agarwal, Simona Hodis, and Donal O'Regan",,Springer,BLL,Ordinary Differential Equations | Textbooks,2019
5000 Years of Geometry,Christoph J. Scriba and Peter Schreiber,,Birkhäuser,BLL*,Geometry | History of Mathematics,2015
50[sup]th[/sup] IMO — 50 Years of International Mathematical Olympiads,"Hans-Dietrich Gronau, Hanns-Heirich Langmann, and Dierk Schleicher, editors",,Springer,BLL,Problems Olympiad Level | History of Mathematics,2011
536 Puzzles and Curious Problems,Henry E. Dudeney,,Dover Publications,BLL***,Recreational Mathematics,1983
99 Variations on a Proof,Phillip Ording,,Princeton University Press,BLL,Mathematics for the General Reader,2019
A = B,"Marko Petkovšek, Herbert S. Wilf, and Doron Zeilberger",,A K Peters/CRC Press,BLL,Algorithms | Mathematical Software | Special Functions,1996
A Basic Course in Algebraic Topology,William S. Massey,,Springer Verlag,BLL,Algebraic Topology,1991
A Beautiful Mind,Sylvia Nasar,,Simon & Schuster,BLL*,Biography | History of Mathematics,2011
A Benchmark Approach to Quantitative Finance,E. Platen and D. Heath,,Springer Verlag,BLL,Stochastic Calculus | Stochastic Differential Equations,2007
A Biologist's Guide to Mathematical Modeling in Ecology and Evolution,Sarah P. Otto and Troy Day,,Princeton University Press,BLL,Mathematical Biology | Mathematical Modeling,2016
A Book of Set Theory,Charles C. Pinter,,Dover Publications,BLL,Set Theory,2014
A Brief History of Numbers,Leo Corry,,Oxford University Press,BLL*,History of Mathematics | Philosophy of Mathematics,2015
A Brief Introduction to Spectral Graph Theory,Bogdan Nica,,European Mathematical Society,BLL,Graph Theory,2018
A Brief Introduction to Theta Functions,Richard Bellman,,Dover Publications,BLL,Analytic Number Theory | Complex Analysis | Special Functions,2013
A Brief on Tensor Analysis,James G. Simmonds,2,Springer Verlag,BLL,Vector Calculus | Tensor Analysis | Calculus | Advanced Calculus,1997
A Calculating People: The Spreading of Numeracy in Early America,Patricia Cohen ,,Routledge,BLL**,History of Mathematics,1999
A Call for Change: Recommendations for the Mathematical Preparation of Teachers of Mathematics,James R. C. Leitzel,,MAA,BLL***,Teaching Mathematics,1991
A Career in Statistics: Beyond the Numbers,Gerald J. Hahn and Necip Doganaksoy,,John Wiley,BLL,Statistics | Statistics Careers,2011
A Century of Advancing Mathematics,"Stephen F. Kennedy, Donald J. Albers, Gerald L. Alexanderson, Della Dumbaugh, Frank A. Farris, Deanna B. Haunsperger, and Paul Zorn, Editors",,MAA Press,BLL**,History of Mathematics | Mathematics as a Profession | Surveys of Mathematics,2015
A Century of Mathematics in America: Part 1,Peter Duren,,American Mathematical Society,BLL**,History of Mathematics,1988
A Century of Mathematics in America: Part 2,Peter Duren,,American Mathematical Society,BLL**,History of Mathematics,1992
A Century of Mathematics in America: Part 3,Peter Duren,,American Mathematical Society,BLL**,History of Mathematics,1991
A Century of Mathematics Through the Eyes of the Monthly,"John H. Ewing, editor",,Mathematical Association of America,BLL,History of Mathematics,1994
A Classical Introduction to Modern Number Theory,Kenneth Ireland and Michael Rosen,2,Springer Verlag,BLL***,Algebraic Number Theory | Number Theory,1990
A Classical Invitation to Algebraic Numbers and Class Fields,Harvey Cohn ,,Springer,BLL*,Algebraic Number Theory,1978
A Combinatorial Introduction to Topology ,Michael Henle,,Dover Publications,BLL***,Topology | Algebraic Topology,1994
A Comet of the Enlightenment: Anders Johan Lexell's Life and Discoveries,Johan C.-E. Stén,,Birkhäuser,BLL,Biography | History of Mathematics,2014
A Complex Analysis Problem Book,Daniel Alpay,,Birkhäuser,BLL,Complex Analysis,2011
A Comprehensive Course in Number Theory,Alan Baker,,Cambridge University Press,BLL,Algebraic Number Theory | Analytic Number Theory | Number Theory,2012
"A Comprehensive Introduction to Differential Geometry, Vol. I",Michael Spivak,3,"Publish or Perish, Inc.",BLL**,Differential Geometry,2005
"A Comprehensive Introduction to Differential Geometry, Vol. II",Michael Spivak,3,"Publish or Perish, Inc.",BLL**,Differential Geometry,1999
"A Comprehensive Introduction to Differential Geometry, Vol. III",Michael Spivak,3,"Publish or Perish, Inc.",BLL**,Differential Geometry,1999
"A Comprehensive Introduction to Differential Geometry, Vol. IV",Michael Spivak,3,"Publish or Perish, Inc.",BLL**,Differential Geometry,1999
"A Comprehensive Introduction to Differential Geometry, Vol. V",Michael Spivak,3,"Publish or Perish, Inc.",BLL**,Differential Geometry,1999
A Computer Perspective,Charles Eames and Ray Eames,,Harvard University Press,BLL,Computer Science | History of Mathematics,1990
A Concise History of Mathematics,Dirk Jan Struik,4,Dover Publications,BLL**,History of Mathematics,1987
A Concise Introduction to the Theory of Numbers,Alan Baker,,Cambridge University Press,BLL,Number Theory | Elementary Number Theory,1984
A Concise Text on Advanced Linear Algebra,Yisong Yang,,Cambridge University Press,BLL,Linear Algebra,2015
A Concrete Introduction to Higher Algebra,Lindsay N. Childs,3,Springer,BLL*,Algebra | Abstract Algebra,2009
